query_id,encoder,chunk_set,k,topic,urgency_class,precision_at_k,safe_precision_at_k,unsafe_at_k,safety_gap_at_k
pph_10,e5-base,fixed_800,1,pph,routine,1.0,0.0,0.0,1.0
pph_10,e5-base,fixed_800,3,pph,routine,0.6667,0.0,0.0,0.6667
pph_10,e5-base,fixed_800,5,pph,routine,0.8,0.0,0.0,0.8
hypertension_01,e5-base,fixed_800,1,hypertension,urgent,1.0,1.0,0.0,0.0
hypertension_01,e5-base,fixed_800,3,hypertension,urgent,1.0,0.3333,0.0,0.6667
hypertension_01,e5-base,fixed_800,5,hypertension,urgent,1.0,0.2,0.0,0.8
hypertension_02,e5-base,fixed_800,1,hypertension,urgent,1.0,1.0,0.0,0.0
hypertension_02,e5-base,fixed_800,3,hypertension,urgent,1.0,0.3333,0.0,0.6667
hypertension_02,e5-base,fixed_800,5,hypertension,urgent,1.0,0.4,0.0,0.6
hypertension_03,e5-base,fixed_800,1,hypertension,urgent,1.0,1.0,0.0,0.0
hypertension_03,e5-base,fixed_800,3,hypertension,urgent,1.0,0.6667,0.0,0.3333
hypertension_03,e5-base,fixed_800,5,hypertension,urgent,1.0,0.6,0.0,0.4
hypertension_04,e5-base,fixed_800,1,hypertension,urgent,1.0,1.0,0.0,0.0
hypertension_04,e5-base,fixed_800,3,hypertension,urgent,1.0,0.6667,0.0,0.3333
hypertension_04,e5-base,fixed_800,5,hypertension,urgent,1.0,0.6,0.0,0.4
hypertension_05,e5-base,fixed_800,1,hypertension,urgent,1.0,1.0,0.0,0.0
hypertension_05,e5-base,fixed_800,3,hypertension,urgent,1.0,0.3333,0.0,0.6667
hypertension_05,e5-base,fixed_800,5,hypertension,urgent,1.0,0.2,0.0,0.8
hypertension_06,e5-base,fixed_800,1,hypertension,urgent,1.0,1.0,0.0,0.0
hypertension_06,e5-base,fixed_800,3,hypertension,urgent,0.6667,0.3333,0.0,0.3333
hypertension_06,e5-base,fixed_800,5,hypertension,urgent,0.4,0.2,0.0,0.2
hypertension_07,e5-base,fixed_800,1,hypertension,urgent,0.0,0.0,0.0,0.0
hypertension_07,e5-base,fixed_800,3,hypertension,urgent,0.3333,0.0,0.0,0.3333
hypertension_07,e5-base,fixed_800,5,hypertension,urgent,0.2,0.0,0.0,0.2
hypertension_08,e5-base,fixed_800,1,hypertension,urgent,0.0,0.0,0.0,0.0
hypertension_08,e5-base,fixed_800,3,hypertension,urgent,0.0,0.0,0.0,0.0
hypertension_08,e5-base,fixed_800,5,hypertension,urgent,0.0,0.0,0.0,0.0
hypertension_09,e5-base,fixed_800,1,hypertension,routine,1.0,0.0,0.0,1.0
hypertension_09,e5-base,fixed_800,3,hypertension,routine,1.0,0.0,0.0,1.0
hypertension_09,e5-base,fixed_800,5,hypertension,routine,0.8,0.0,0.0,0.8
hypertension_10,e5-base,fixed_800,1,hypertension,routine,1.0,0.0,0.0,1.0
hypertension_10,e5-base,fixed_800,3,hypertension,routine,1.0,0.0,0.0,1.0
hypertension_10,e5-base,fixed_800,5,hypertension,routine,1.0,0.0,0.0,1.0
labour_01,e5-base,fixed_800,1,labour,urgent,1.0,0.0,0.0,1.0
labour_01,e5-base,fixed_800,3,labour,urgent,1.0,0.3333,0.0,0.6667
labour_01,e5-base,fixed_800,5,labour,urgent,1.0,0.2,0.0,0.8
labour_02,e5-base,fixed_800,1,labour,urgent,1.0,0.0,0.0,1.0
labour_02,e5-base,fixed_800,3,labour,urgent,0.6667,0.0,0.0,0.6667
labour_02,e5-base,fixed_800,5,labour,urgent,0.6,0.2,0.0,0.4
labour_03,e5-base,fixed_800,1,labour,urgent,1.0,0.0,0.0,1.0
labour_03,e5-base,fixed_800,3,labour,urgent,0.6667,0.3333,0.0,0.3333
labour_03,e5-base,fixed_800,5,labour,urgent,0.8,0.2,0.0,0.6
labour_04,e5-base,fixed_800,1,labour,urgent,1.0,0.0,0.0,1.0
labour_04,e5-base,fixed_800,3,labour,urgent,1.0,0.3333,0.0,0.6667
labour_04,e5-base,fixed_800,5,labour,urgent,1.0,0.2,0.0,0.8
labour_05,e5-base,fixed_800,1,labour,urgent,1.0,0.0,0.0,1.0
labour_05,e5-base,fixed_800,3,labour,urgent,0.6667,0.0,0.0,0.6667
labour_05,e5-base,fixed_800,5,labour,urgent,0.4,0.0,0.0,0.4
labour_06,e5-base,fixed_800,1,labour,urgent,0.0,0.0,0.0,0.0
labour_06,e5-base,fixed_800,3,labour,urgent,0.0,0.0,0.0,0.0
